"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Oscillibacter_sp._ER4","GO:0016987",-0.0448512045347189,0.449332515684702,145,86,0.000140910642809656,0.0713457356520512,0.494183720219421,31,3,"bacterial sigma factor activity","MF"
"s__Dorea_sp._AF36_15AT","GO:0016987",-0.00122530419749979,-0.427700718841754,148,84,0.00108430446627056,0.0945515389416827,0.426475414644254,24,3,"bacterial sigma factor activity","MF"
"s__Dorea_sp._AM58_8","GO:0016987",-0.00262651913658625,-0.436463984150196,149,86,0.000763648975933529,0.0891344997407774,0.43383746501361,9,3,"bacterial sigma factor activity","MF"
"s__Alistipes_onderdonkii","GO:0016597",-0.00520247469066367,-0.458048289738431,127,71,0.00126742286443639,0.0987300175907097,0.452845815047767,2,1,"amino acid binding","MF"
"s__Oscillibacter_sp._ER4","GO:0016832",-0.168890725869942,-0.567809802349167,145,86,0.000652170405434545,0.0888826995760413,0.398919076479226,31,1,"aldehyde-lyase activity","MF"
"s__Dorea_sp._AF36_15AT","GO:0004177",0.279047298222754,0.639404677533664,148,84,0.000748922081722886,0.0891344997407774,0.36035737931091,24,3,"aminopeptidase activity","MF"
"s__Dorea_ammoniilytica","GO:0004177",0.170842942655023,0.622354966082819,148,84,6.67624210499905e-05,0.0701594561540619,0.451512023427796,15,3,"aminopeptidase activity","MF"
"s__Prevotella_sp._P5_64","GO:0004177",-0.0659467115163318,-0.59254955570745,78,56,0.000667502680385645,0.0891344997407774,0.526602844191119,40,3,"aminopeptidase activity","MF"
"s__Oliverpabstia_intestinalis","GO:0003684",-0.0119050703902094,0.502051983584131,148,85,4.91613734357129e-05,0.0701594561540619,0.513957053974341,3,2,"damaged DNA binding","MF"
"s__Vescimonas_fastidiosa","GO:0003684",-0.0204284221525601,-0.506221991603378,144,86,0.000112475247833786,0.0701594561540619,0.485793569450817,25,2,"damaged DNA binding","MF"
"s__Phascolarctobacterium_succinatutens","GO:0006284",-0.0591180056902859,-0.566297786720322,121,71,0.000142732510568952,0.071476792491909,0.507179781030036,38,1,"base-excision repair","BP"
"s__Ruminococcus_flavefaciens","GO:0050661",-0.137889217145577,-0.534072361903863,147,86,0.000976963283799057,0.0935868372687445,0.396183144758286,10,3,"NADP binding","MF"
"s__Vescimonas_fastidiosa","GO:0050661",-0.18406880475846,-0.565168168309826,144,86,0.00109985107164604,0.0945808635358021,0.381099363551366,25,3,"NADP binding","MF"
"s__Qingrenia_yutianensis","GO:0050661",0.0543640631668801,-0.391843797956052,143,82,0.000932654489924429,0.0933158992068922,0.446207861122932,2,3,"NADP binding","MF"
"s__Collinsella_sp._TF05_9AC","GO:0006526",0.199441956315483,0.629535864978903,133,80,0.000197478666731126,0.0772956595505867,0.430093908663419,25,1,"arginine biosynthetic process","BP"
"s__Phascolarctobacterium_succinatutens","GO:0009055",0.0344126812085083,0.520623742454728,121,71,0.000397904093607017,0.0838182743046852,0.48621106124622,38,1,"electron transfer activity","MF"
"s__Prevotella_sp._P5_64","GO:0006012",0.0381517216960255,-0.539029391660971,78,56,0.000395371380322289,0.0838182743046852,0.577181113356996,40,1,"galactose metabolic process","BP"
"s__Catenibacterium_mitsuokai","GO:0008184",-0.0843103029850468,0.362117459384577,137,83,0.00109453382766598,0.0945515389416827,0.446427762369623,12,2,"glycogen phosphorylase activity","MF"
"s__Dorea_ammoniilytica","GO:0008184",-0.0295997956592396,0.426546522223347,148,84,0.000503133608425348,0.0852677041271081,0.456146317882587,15,2,"glycogen phosphorylase activity","MF"
"s__Mediterraneibacter_glycyrrhizinilyticus","GO:0033014",0.331783058226011,-0.121901976508326,149,86,0.000708508370192595,0.0891344997407774,0.453685034734337,6,1,"tetrapyrrole biosynthetic process","BP"
"s__Dorea_sp._AM58_8","GO:0016774",-0.336107382550336,0.103504882305769,149,86,0.00101333545457029,0.0942794003147865,0.439612264856105,9,1,"phosphotransferase activity, carboxyl group as acceptor","MF"
"s__Prevotella_sp._Marseille_P4119","GO:0004619",0.0718673218673219,-0.42821697140894,111,68,0.00080283439220139,0.0899977292387695,0.500084293276262,31,1,"phosphoglycerate mutase activity","MF"
"s__Simiaoa_sunii","GO:0015930",0.0595548186208825,-0.407699824115693,146,85,0.000405884357635962,0.0838182743046852,0.467254642736575,20,1,"glutamate synthase activity","MF"
"s__Bacteroides_ovatus","GO:0006306",0.129672492520863,0.550973709834469,145,79,0.000622739429766727,0.0888826995760413,0.421301217313606,10,3,"DNA methylation","BP"
"s__Desulfovibrio_piger","GO:0006306",-0.00905444273903342,0.46458101937554,123,73,0.000714592995800063,0.0891344997407774,0.473635462114573,4,3,"DNA methylation","BP"
"s__Bacteroides_thetaiotaomicron","GO:0006306",0.214263046944065,0.603229448961156,147,81,0.000682002178241083,0.0891344997407774,0.388966402017092,15,3,"DNA methylation","BP"
"s__Bacteroides_ovatus","GO:0008170",0.129672492520863,0.550973709834469,145,79,0.000622739429766727,0.0888826995760413,0.421301217313606,10,3,"N-methyltransferase activity","MF"
"s__Desulfovibrio_piger","GO:0008170",-0.00905444273903342,0.46458101937554,123,73,0.000714592995800063,0.0891344997407774,0.473635462114573,4,3,"N-methyltransferase activity","MF"
"s__Bacteroides_thetaiotaomicron","GO:0008170",0.214263046944065,0.603229448961156,147,81,0.000682002178241083,0.0891344997407774,0.388966402017092,15,3,"N-methyltransferase activity","MF"
"s__Blautia_obeum","GO:0004637",-0.106403047342645,0.363762441624605,149,86,0.000412591427391703,0.0838182743046852,0.47016548896725,26,1,"phosphoribosylamine-glycine ligase activity","MF"
"s__Prevotella_sp._P5_64","GO:0008878",-0.0657949645291417,-0.574367737525632,78,56,0.00115113242489267,0.0949568926561188,0.508572772996491,40,1,"glucose-1-phosphate adenylyltransferase activity","MF"
"s__Prevotella_sp._Marseille_P4119","GO:0009341",0.0761934011934012,0.554261938389892,111,68,0.000524824792919795,0.0854158017121955,0.478068537196491,31,1,"beta-galactosidase complex","CC"
"s__Simiaoa_sunii","GO:0004055",0.0494712386607926,-0.385264803595857,146,85,0.00106697224368419,0.0945515389416827,0.43473604225665,20,1,"argininosuccinate synthase activity","MF"
"s__Oscillibacter_sp._ER4","GO:0006189",-0.0560108644307983,-0.466522005754988,145,86,0.00121574427705179,0.0968972251091948,0.41051114132419,31,4,"'de novo' IMP biosynthetic process","BP"
"s__Prevotella_hominis","GO:0006189",-0.164417261762395,-0.585857611421956,112,72,0.00110129326347693,0.0945808635358021,0.421440349659562,9,4,"'de novo' IMP biosynthetic process","BP"
"s__Phascolarctobacterium_succinatutens","GO:0006189",-0.205290611028316,-0.625687458081824,121,71,0.000600492059236846,0.0884835677463532,0.420396847053508,38,4,"'de novo' IMP biosynthetic process","BP"
"s__Intestinimonas_sp._MSJ_38","GO:0006189",0.0160975904615826,-0.404632293976131,147,86,0.00131210977143784,0.0993337443499039,0.420729884437714,12,4,"'de novo' IMP biosynthetic process","BP"
"s__Oscillibacter_sp._ER4","GO:0006099",-0.120965202330342,-0.519675456389452,145,86,0.00107856807773874,0.0945515389416827,0.398710254059111,31,1,"tricarboxylic acid cycle","BP"
"s__Suilimivivens_aceti","GO:0004326",-0.147032801874604,-0.562979385820086,148,86,0.000411044734871951,0.0838182743046852,0.415946583945482,13,1,"tetrahydrofolylpolyglutamate synthase activity","MF"
"s__Prevotella_sp._P5_64","GO:0004386",0.172877755156236,0.644429254955571,78,56,0.00108498844267019,0.0945515389416827,0.471551499799335,40,1,"helicase activity","MF"
"s__Oscillibacter_sp._ER4","GO:0008233",0.157691702094158,0.579282041605736,145,86,0.000300139187972219,0.0804737967828592,0.421590339511578,31,3,"peptidase activity","MF"
"s__Dorea_sp._AF36_15AT","GO:0008233",-0.114915764963704,-0.538078363875671,148,84,0.000495540186541467,0.0846268283185163,0.423162598911967,24,3,"peptidase activity","MF"
"s__Bacteroides_xylanisolvens","GO:0008233",0.223587332208022,0.610856864654333,144,79,0.000748551510802243,0.0891344997407774,0.387269532446311,25,3,"peptidase activity","MF"
"s__Catenibacterium_mitsuokai","GO:0009082",-0.290393339182706,0.198711221191386,137,83,0.000422782983718235,0.0838182743046852,0.489104560374092,12,2,"branched-chain amino acid biosynthetic process","BP"
"s__Bacteriophage_sp.","GO:0009082",-0.0481075074657962,-0.521775666788455,120,69,0.000618605086692798,0.0888826995760413,0.473668159322658,1,2,"branched-chain amino acid biosynthetic process","BP"
"s__Phascolarctobacterium_succinatutens","GO:0016884",-0.187000406448991,-0.667136150234742,121,71,5.77115025094453e-05,0.0701594561540619,0.480135743785751,38,4,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor","MF"
"s__Phascolarctobacterium_sp._Marseille_Q4147","GO:0016884",-0.200785920626399,-0.609557344064386,118,71,0.00105236572924418,0.0945515389416827,0.408771423437987,21,4,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor","MF"
"s__Faecalibacterium_sp._CLA_AA_H233","GO:0016884",-0.139793216034827,-0.624193863591948,149,85,2.04412581351289e-05,0.0593299461887907,0.484400647557122,10,4,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor","MF"
"s__Blautia_ammoniilytica","GO:0016884",-0.0881700766648034,0.438143308646634,148,86,5.44739206827616e-05,0.0701594561540619,0.526313385311438,8,4,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor","MF"
"s__Bifidobacterium_pseudocatenulatum","GO:0032549",-0.0751163275227446,0.396527523109802,120,78,0.000883001010978585,0.0930704473875949,0.471643850632546,3,1,"ribonucleoside binding","MF"
"s__Fusicatenibacter_saccharivorans","GO:0003883",-0.392211137311808,0.0505967262606727,149,86,0.000748514611986949,0.0891344997407774,0.442807863572481,5,2,"CTP synthase activity","MF"
"s__Agathobaculum_sp._M2","GO:0003883",0.372888394194957,-0.145187019856429,141,83,0.000137419090540734,0.0713457356520512,0.518075414051386,8,2,"CTP synthase activity","MF"
"s__Bacteroides_uniformis","GO:0004347",-0.0324712643678161,-0.455816296545065,145,83,0.00108248069845627,0.0945515389416827,0.423345032177249,3,1,"glucose-6-phosphate isomerase activity","MF"
