"t1","t2","r1","r2","n1","n2","p","BH_p","abs_diff_cor","num_sig_corr_t1","num_sig_corr_t2","Description","Ontology"
"s__Veillonella_sp._S13053_19","GO:0008299",-0.298982394535023,0.221512664550639,138,78,0.000226111699718972,0.0672511009921731,0.520495059085662,3,2,"isoprenoid biosynthetic process","BP"
"s__Veillonella_nakazawae","GO:0042910",-0.093516047206665,0.386411057297133,138,78,0.000537161682222562,0.0893600323900753,0.479927104503798,4,1,"xenobiotic transmembrane transporter activity","MF"
"s__Haemophilus_parainfluenzae","GO:0009116",-0.526502839883122,-0.0407592429337948,143,82,0.000114230069681913,0.0587102689707388,0.485743596949327,85,1,"nucleoside metabolic process","BP"
"s__Streptococcus_vestibularis","GO:0006779",-0.42027397485144,0.039293060744721,143,83,0.000530392863660657,0.0893600323900753,0.459567035596161,4,1,"porphyrin-containing compound biosynthetic process","BP"
"s__Fusobacterium_nucleatum","GO:0004743",-0.22841673983026,0.395220483641536,135,75,1.00583828473363e-05,0.0323918001290198,0.623637223471797,2,1,"pyruvate kinase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0004045",-0.452177517318362,0.0105680173267596,143,82,0.000419861687748792,0.0835326175389404,0.462745534645122,85,1,"aminoacyl-tRNA hydrolase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0004749",-0.437842673758167,0.0624176924500169,143,82,0.000164975638358637,0.0593240113009411,0.500260366208184,85,1,"ribose phosphate diphosphokinase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0015937",-0.433874224367182,0.0900403783154297,143,82,8.53340492960363e-05,0.0558369129227064,0.523914602682612,85,1,"coenzyme A biosynthetic process","BP"
"s__Neisseria_mucosa","GO:0009306",0.429746859073683,-0.0496339103934041,137,78,0.000434426120461271,0.0849681282400046,0.479380769467088,4,2,"protein secretion","BP"
"s__Candidatus_Nanosynbacter_sp._TM7_075","GO:0009306",-0.107501356483993,0.512820512820513,96,53,0.000136322998855029,0.0593240113009411,0.620321869304506,4,2,"protein secretion","BP"
"s__Haemophilus_parainfluenzae","GO:0046873",-0.610332742374996,-0.22016521370033,143,82,0.00057009982922159,0.0932109834558989,0.390167528674666,85,1,"metal ion transmembrane transporter activity","MF"
"s__Peptostreptococcus_stomatis","GO:0015658",-0.1175888177053,0.558369408369408,101,55,1.49275938924997e-05,0.0323918001290198,0.675958226074708,5,1,"branched-chain amino acid transmembrane transporter activity","MF"
"s__Haemophilus_parainfluenzae","GO:0004523",-0.459129485537936,0.109130288090029,143,82,1.79756897176626e-05,0.032500549742079,0.568259773627966,85,1,"RNA-DNA hybrid ribonuclease activity","MF"
"s__Haemophilus_parainfluenzae","GO:0045892",-0.557220361797827,0.00551800698729879,143,82,7.00482792806118e-06,0.0323918001290198,0.562738368785125,85,1,"negative regulation of transcription, DNA-templated","BP"
"s__Streptococcus_salivarius","GO:0004831",0.581195874665407,0.0567986230636833,145,83,1.47045916269072e-05,0.0323918001290198,0.524397251601724,2,2,"tyrosine-tRNA ligase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0004831",-0.497689517055714,-0.0532754323527171,143,82,0.000478152933032852,0.0855336892037184,0.444414084702997,85,2,"tyrosine-tRNA ligase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0008762",-0.454172001707213,0.0371894080386587,143,82,0.000189064320730309,0.0635263194318533,0.491361409745872,85,1,"UDP-N-acetylmuramate dehydrogenase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0042597",0.663625693555271,0.283464481231158,143,82,0.000312575956351973,0.0707984541137218,0.380161212324113,85,1,"periplasmic space","CC"
"s__Haemophilus_parainfluenzae","GO:0008887",-0.40609507863029,0.107388905214353,143,82,0.000136948276258515,0.0593240113009411,0.513483983844643,85,1,"glycerate kinase activity","MF"
"s__Haemophilus_parainfluenzae","GO:0031388",-0.431833374896006,0.147506013212743,142,82,1.57980459114843e-05,0.0323918001290198,0.579339388108749,85,1,"organic acid phosphorylation","BP"
"s__Haemophilus_parainfluenzae","GO:0042823",-0.51197738431781,-0.0164887191040585,142,82,0.000102898984807538,0.0587102689707388,0.495488665213751,85,1,"pyridoxal phosphate biosynthetic process","BP"
"s__Haemophilus_parainfluenzae","GO:0042819",-0.509621933355826,0.00170873194675722,142,82,6.62242554829332e-05,0.0513150842814465,0.511330665302583,85,1,"vitamin B6 biosynthetic process","BP"
"s__Haemophilus_parainfluenzae","GO:0009165",-0.453646705407269,0.0444814488305526,143,82,0.000156767552999328,0.0593240113009411,0.498128154237821,85,1,"nucleotide biosynthetic process","BP"
"s__Fusobacterium_nucleatum","GO:0030955",-0.247390498487952,0.388221906116643,135,75,6.90463543326402e-06,0.0323918001290198,0.635612404604595,2,1,"potassium ion binding","MF"
"s__Haemophilus_parainfluenzae","GO:0071586",-0.453416888276043,0.0199714848554108,143,82,0.00031245168152525,0.0707984541137218,0.473388373131454,85,1,"CAAX-box protein processing","BP"
"s__Haemophilus_parainfluenzae","GO:0004488",-0.379337798351883,0.131049945037603,143,82,0.000170610386057285,0.0598050335411519,0.510387743389486,85,1,"methylenetetrahydrofolate dehydrogenase (NADP+) activity","MF"
"s__Haemophilus_parainfluenzae","GO:0046914",-0.50006155816015,-0.0400191552116324,143,82,0.000307474685548427,0.0707311884060425,0.460042402948517,85,1,"transition metal ion binding","MF"
"s__Haemophilus_parainfluenzae","GO:0042803",-0.353828096785843,0.214483952068436,143,82,3.20931821233958e-05,0.033777464364207,0.56831204885428,85,1,"protein homodimerization activity","MF"
"s__Haemophilus_parainfluenzae","GO:0051087",-0.354866377753702,0.19478455828735,143,82,5.78926860185041e-05,0.0501367688180839,0.549650936041052,85,1,"chaperone binding","MF"
"s__Streptococcus_salivarius","GO:0006437",0.575472366556448,0.0482977204987196,145,83,1.47560621653813e-05,0.0323918001290198,0.527174646057728,2,1,"tyrosyl-tRNA aminoacylation","BP"
"s__Haemophilus_parainfluenzae","GO:0000774",-0.445627729078433,0.116030517734896,143,82,2.46790450387299e-05,0.0330441560288897,0.56165824681333,85,1,"adenyl-nucleotide exchange factor activity","MF"
