Taxa,name,cooccurrence_g1,cooccurrence_g2,cor_g1,cor_g2,diff_cor,p,sign
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0014797,151,82,0.202868236949169,0.305219800938784,0.102351563989615,0.431766164372099,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0031740,151,82,-0.203967581800206,-0.36362923984135,0.159661658041144,0.21124491044489,g2-
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0034704,151,82,-0.0889442790167925,-0.360550191611421,0.271605912594629,0.0385133783624869,g2-
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0035399,151,82,-0.0339410942327419,-0.342719242984051,0.308778148751309,0.0203591648164259,g2-
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0035683,151,82,0.124078201127024,0.314867628028234,0.19078942690121,0.148708439799349,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0037002,151,82,-0.0554830520986642,0.30523630722007,0.360719359318734,0.0077831991415096,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0038805,151,82,0.0335941847983764,0.327614894272606,0.29402070947423,0.0278046891654373,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0242394,151,82,0.277725452065026,0.431196429309964,0.153470977244938,0.206160732259992,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0242401,151,82,0.204051845108171,0.370314881179493,0.166263036071322,0.19190382961522,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0242602,151,82,-0.0274817947912873,-0.326229027993909,0.298747233202622,0.0255619178856217,g2-
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0245333,151,82,-0.232591916409329,-0.383445174513121,0.150853258103792,0.23025258061532,g2-
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0281361,151,82,0.1525267866818,0.354135228065408,0.201608441383608,0.120343769140348,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0301791,151,82,0.203337327219711,0.499256943979742,0.295919616760031,0.0140798659592631,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0302368,151,82,0.132009723274541,0.447210655249861,0.315200931975319,0.0123993878548618,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0303148,151,82,-0.0424088290901181,0.309998878859897,0.352407707950015,0.00918668798583822,g2+
data1 - s__Anaerobutyricum_hallii,data2 - HMDB0304637,151,82,0.070915490704165,0.305180457214809,0.234264966510644,0.0796900520134751,g2+
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0030663,151,82,-0.0457703411734588,-0.328971390967899,0.28320104979444,0.0337188806427462,g2-
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0030799,151,82,-0.0706332279025838,0.343975944015164,0.414609171917748,0.00206074128951927,g2+
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0034639,151,82,0.00195275028507561,0.42525446997613,0.423301719691054,0.00117493076992981,g2+
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0038358,151,82,-6.46776396359654e-05,-0.367901406481766,0.36783672884213,0.0056101005294642,g2-
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0254509,151,82,0.0891209737566775,0.401768216617254,0.312647242860577,0.0157671058064277,g2+
data1 - s__Anaerobutyricum_soehngenii,data2 - HMDB0294589,151,82,-0.0371724568506337,0.331474260865397,0.368646717716031,0.00615896325284004,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000034,148,80,-0.111144212903252,-0.30480268761578,0.193658474712527,0.149572050805046,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000152,148,80,-0.218743929239936,-0.340860422047101,0.122116492807165,0.346560793719836,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000156,148,80,-0.0506944369033058,-0.341333642105199,0.290639205201893,0.0306172616349678,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000167,148,80,-0.331727258924542,-0.0780466725018417,0.2536805864227,0.0587058787721051,g1-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000228,148,80,-0.100160868226145,-0.338998415929775,0.238837547703631,0.0733897021256222,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000244,148,80,-0.274543024285089,-0.351295179739736,0.0767521554546476,0.545936026369587,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000323,148,80,-0.366309689927734,-0.296063160198082,0.0702465297296512,0.575527322315471,g1-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000806,148,80,-0.0235916648378747,0.356758579288705,0.380350244126579,0.00489688979992842,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000910,148,80,-0.37385644713977,-0.0896224929170889,0.284233954222681,0.0316307413062535,g1-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0000929,148,80,-0.387307581443906,-0.220371953587018,0.166935627856888,0.190532822858785,g1-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0001238,148,80,0.236282349461263,0.310938119888832,0.0746557704275698,0.566873074573842,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0001844,148,80,-0.0781702800884564,-0.345538560536189,0.267368280447732,0.0454847950525146,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0002123,148,80,0.199325923709947,0.33534685231051,0.136020928600563,0.297811181674648,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0003099,148,80,-0.346626135507444,-0.482178730358684,0.13555259485124,0.244192736417826,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0005782,148,80,0.208040923911742,0.343713867656096,0.135672943744354,0.296611391839071,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0012322,148,80,0.189125643777631,0.319793534954945,0.130667891177313,0.320831437167293,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0013897,148,80,0.215866433819001,0.43765472056609,0.22178828674709,0.0762279622772377,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0029132,148,80,-0.335790670104184,-0.33418758046769,0.0016030896364948,0.989782784409975,g1-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0029408,148,80,-0.213306651791644,-0.331730133534441,0.118423481742797,0.363497157163808,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0029522,148,80,0.13063176437069,0.30521246894916,0.174580704578471,0.192235692654276,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0029667,148,80,0.108273994573742,0.333071268893487,0.224797274319745,0.092018172048286,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0030471,148,80,0.202381226696274,0.434145530523888,0.231764303827614,0.0654328355574054,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0031740,148,80,0.343762199089774,0.332343373064313,0.011418826025461,0.927151412555302,g1+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0033865,148,80,0.271594248287762,0.355061674575527,0.0834674262877658,0.511196547840714,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0035599,148,80,-0.147860496551888,-0.329878524352273,0.182018027800385,0.169456999016506,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0036438,148,80,-0.130856671735201,-0.368579171526056,0.237722499790855,0.0703616881089937,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0040680,148,80,0.185526204198437,0.30450105665152,0.118974852453083,0.36862939806689,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0094805,148,80,0.278268415827087,0.411279938712858,0.133011522885771,0.283131642238283,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0240279,148,80,0.187907638459226,0.347712257188142,0.159804618728916,0.22074752143637,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0240529,148,80,0.200315331844889,0.314890321468585,0.114574989623696,0.383425761304648,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0240604,148,80,0.327512117510766,0.389731393839362,0.0622192763285965,0.612389809511688,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0241943,148,80,0.0469529345262888,0.331414255751663,0.284461321225374,0.0349197896502391,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0244272,148,80,-0.177381562595641,-0.310011169185473,0.132629606589832,0.316382060478133,g2-
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0245327,148,80,0.189469888255733,0.303369090752564,0.113899202496832,0.389121096752363,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0245333,148,80,0.174640394154545,0.473045029515525,0.29840463536098,0.0166782899224516,g2+
data1 - s__Anaeromassilibacillus_sp._An200,data2 - HMDB0246779,148,80,-0.241218670574254,-0.306162931274707,0.0649442607004535,0.618405328401959,g2-
